latitude,longitude,chi,elevation,flow distance,drainage area,m_chi,b_chi,source_key,basin_key,segmented_elevation,segment_number
25.5054341,91.9425016,19.111,1602,95927,1.4135e+07,74.661,163.74,0,0,1590.6,0
25.5054377,91.942999,19.08,1594,95877,1.414e+07,74.661,163.74,0,0,1588.3,0
25.5054413,91.9434965,19.05,1584,95827,1.416e+07,74.661,163.74,0,0,1586,0
25.5049934,91.9439979,19.007,1577,95756,1.4215e+07,74.661,163.74,0,0,1582.8,0
25.504997,91.9444954,18.977,1577,95706,1.422e+07,74.661,163.74,0,0,1580.6,0
25.5054521,91.9449889,18.934,1577,95636,1.4265e+07,74.661,163.74,0,0,1577.4,0
25.5054556,91.9454863,18.904,1575,95586,1.4275e+07,74.661,163.74,0,0,1575.1,0
25.5054592,91.9459838,18.874,1572,95536,1.7738e+07,74.661,163.74,0,0,1572.9,0
25.5054628,91.9464813,18.847,1571,95486,1.7745e+07,74.661,163.74,0,0,1570.8,0
25.5059178,91.9469748,18.808,1569,95415,1.7758e+07,74.661,163.74,0,0,1568,0
25.5059214,91.9474723,18.781,1561,95365,1.7782e+07,74.661,163.74,0,0,1565.9,0
25.505925,91.9479697,18.753,1561,95315,1.7792e+07,74.661,163.74,0,0,1563.9,0
25.50638,91.9484632,18.715,1557,95244,1.7842e+07,74.661,163.74,0,0,1561,0
25.506835,91.9489568,18.676,1556,95174,1.7895e+07,74.661,163.74,0,0,1558.1,0
25.5072864,91.9489529,18.649,1556,95124,1.7912e+07,74.661,163.74,0,0,1556.1,0
25.5077414,91.9494464,18.61,1550,95053,1.7952e+07,74.661,163.74,0,0,1553.2,0
25.507745,91.9499439,18.583,1545,95003,1.7972e+07,74.661,163.74,0,0,1551.2,0
25.5077486,91.9504413,18.556,1544,94953,1.7978e+07,74.661,163.74,0,0,1549.1,0
25.5082036,91.9509349,18.517,1542,94882,1.8052e+07,74.661,163.74,0,0,1546.3,0
25.5086586,91.9514284,18.479,1542,94812,1.8155e+07,74.661,163.74,0,0,1543.4,0
25.50911,91.9514245,18.452,1542,94762,1.8165e+07,74.661,163.74,0,0,1541.4,0
25.509565,91.9519181,18.414,1542,94691,1.821e+07,74.661,163.74,0,0,1538.5,0
