chi,elevation,flow distance,drainage area
19.111,1602,95927,1.41E+07
19.08,1594,95877,1.41E+07
19.05,1584,95827,1.42E+07
19.007,1577,95756,1.42E+07
18.977,1577,95706,1.42E+07
18.934,1577,95636,1.43E+07
18.904,1575,95586,1.43E+07
18.874,1572,95536,1.77E+07
18.847,1571,95486,1.77E+07
18.808,1569,95415,1.78E+07
18.781,1561,95365,1.78E+07
18.753,1561,95315,1.78E+07
18.715,1557,95244,1.78E+07
18.676,1556,95174,1.79E+07
18.649,1556,95124,1.79E+07
18.61,1550,95053,1.80E+07
18.583,1545,95003,1.80E+07
18.556,1544,94953,1.80E+07
18.517,1542,94882,1.81E+07
18.479,1542,94812,1.82E+07
18.452,1542,94762,1.82E+07
18.414,1542,94691,1.82E+07
18.375,1542,94620,1.82E+07
18.348,1539,94570,1.83E+07
18.31,1527,94499,1.83E+07
18.283,1527,94449,1.83E+07
18.256,1524,94399,1.84E+07
18.229,1524,94349,1.84E+07
18.203,1523,94299,1.85E+07
18.176,1521,94249,1.85E+07
18.149,1520,94199,1.85E+07
18.111,1517,94129,1.85E+07
18.073,1512,94058,1.86E+07
18.035,1512,93987,1.87E+07
17.997,1512,93917,1.87E+07
17.96,1512,93846,1.88E+07
17.933,1509,93796,1.88E+07
17.906,1508,93746,1.88E+07
17.88,1507,93696,1.88E+07
17.853,1505,93646,1.88E+07
17.826,1504,93596,1.89E+07
17.8,1504,93546,1.89E+07
17.773,1504,93496,1.89E+07
17.747,1502,93446,1.89E+07
17.72,1499,93396,1.89E+07
17.693,1488,93346,1.89E+07
17.656,1456,93275,1.89E+07
17.629,1456,93225,1.98E+07
17.592,1456,93154,1.98E+07
17.556,1456,93084,1.99E+07
17.519,1456,93013,1.99E+07
17.482,1456,92942,1.99E+07
17.445,1456,92872,1.99E+07
17.409,1456,92801,1.99E+07
17.383,1456,92751,2.02E+07
17.357,1443,92701,2.02E+07
17.331,1419,92651,2.02E+07
17.305,1409,92601,2.02E+07
17.269,1409,92530,2.03E+07
17.243,1408,92480,2.03E+07
17.217,1408,92430,2.03E+07
17.181,1396,92359,2.03E+07
17.145,1393,92289,2.08E+07
17.109,1393,92218,2.08E+07
17.083,1388,92168,2.09E+07
17.047,1384.1,92097,2.09E+07
17.011,1384.1,92027,2.10E+07
16.986,1384.1,91977,2.10E+07
16.95,1384.1,91906,2.10E+07
16.914,1384.1,91835,2.11E+07
16.878,1384.1,91764,2.11E+07
16.853,1384.1,91714,2.11E+07
16.817,1384.1,91644,2.11E+07
16.782,1384.1,91573,2.11E+07
16.746,1384.1,91502,2.11E+07
16.71,1384,91432,2.64E+07
16.678,1384,91361,2.64E+07
16.645,1384,91290,2.69E+07
16.613,1384,91219,2.69E+07
16.581,1384,91149,2.70E+07
16.549,1384,91078,2.70E+07
16.517,1384,91007,2.70E+07
16.485,1384,90937,2.72E+07
16.463,1384,90887,2.72E+07
16.44,1384,90837,2.72E+07
16.418,1384,90787,2.72E+07
16.395,1384,90737,2.73E+07
16.373,1384,90687,2.73E+07
16.35,1381,90637,2.73E+07
16.318,1372,90566,2.73E+07
16.286,1360,90495,3.27E+07
16.257,1348,90424,3.27E+07
16.228,1348,90354,3.30E+07
16.207,1348,90304,3.30E+07
16.186,1348,90254,3.30E+07
16.165,1348,90204,3.30E+07
16.145,1338,90154,3.31E+07
16.124,1338,90104,3.32E+07
16.095,1338,90033,3.32E+07
16.074,1338,89983,3.32E+07
16.045,1338,89912,3.32E+07
16.016,1338,89842,3.37E+07
15.987,1338,89771,3.38E+07
15.958,1338,89700,3.38E+07
15.929,1336,89630,3.39E+07
15.909,1333,89580,3.39E+07
15.88,1333,89509,3.39E+07
15.859,1333,89459,3.39E+07
15.831,1332,89388,3.39E+07
15.81,1326,89338,3.40E+07
15.781,1325,89267,3.40E+07
15.752,1313,89197,3.41E+07
15.732,1310,89147,3.50E+07
15.704,1309,89076,3.51E+07
15.675,1309,89005,3.52E+07
15.655,1309,88955,3.57E+07
15.635,1309,88905,3.57E+07
15.607,1309,88835,3.57E+07
15.579,1309,88764,3.58E+07
15.55,1309,88693,3.58E+07
15.522,1309,88622,3.59E+07
15.494,1309,88552,3.59E+07
15.466,1307,88481,3.60E+07
15.446,1301,88431,3.60E+07
15.418,1300,88360,3.60E+07
15.39,1299,88290,3.60E+07
15.362,1296,88219,3.61E+07
15.334,1290,88148,3.73E+07
15.306,1290,88077,3.73E+07
15.286,1290,88027,3.73E+07
15.259,1285.1,87957,3.74E+07
15.239,1285.1,87907,3.75E+07
15.211,1285.1,87836,3.77E+07
15.184,1285.1,87765,3.77E+07
15.156,1285.1,87695,3.77E+07
15.129,1285,87624,3.78E+07
15.109,1285,87574,3.78E+07
15.09,1285,87524,3.78E+07
15.062,1285,87453,3.78E+07
15.035,1285,87382,3.79E+07
15.007,1285,87312,3.80E+07
14.98,1285,87241,3.81E+07
14.952,1285,87170,3.82E+07
14.925,1285,87100,3.84E+07
14.898,1285,87029,3.85E+07
14.87,1285,86958,3.85E+07
14.843,1285,86887,3.89E+07
14.816,1285,86817,3.89E+07
14.789,1285,86746,3.90E+07
14.77,1284,86696,3.90E+07
14.742,1283,86625,3.90E+07
14.723,1283,86575,3.91E+07
14.704,1278,86525,3.91E+07
14.685,1268,86475,3.92E+07
14.666,1268,86425,3.92E+07
14.647,1267,86375,3.95E+07
14.628,1267,86325,3.95E+07
14.608,1260,86275,4.00E+07
14.589,1260,86225,4.00E+07
14.571,1260,86175,4.01E+07
14.552,1260,86125,4.01E+07
14.533,1260,86075,4.01E+07
14.506,1260,86005,4.02E+07
14.487,1260,85955,4.02E+07
14.46,1260,85884,4.02E+07
14.441,1260,85834,4.03E+07
14.422,1260,85784,4.04E+07
14.403,1260,85734,4.04E+07
14.385,1254,85684,4.04E+07
14.366,1250,85634,4.05E+07
14.347,1249,85584,4.05E+07
14.328,1247,85534,4.05E+07
14.301,1242,85463,4.20E+07
14.275,1240,85393,4.20E+07
14.256,1237,85343,4.21E+07
14.23,1237,85272,4.21E+07
14.212,1232,85222,4.22E+07
14.186,1232,85151,4.22E+07
14.159,1232,85080,4.22E+07
14.133,1232,85010,4.22E+07
14.107,1232,84939,4.35E+07
14.081,1232,84868,4.35E+07
14.055,1232,84798,4.36E+07
14.029,1232,84727,4.37E+07
14.011,1232,84677,4.37E+07
13.993,1232,84627,4.37E+07
13.975,1224,84577,4.38E+07
13.957,1224,84527,4.38E+07
13.938,1224,84477,4.38E+07
13.92,1224,84427,4.38E+07
13.902,1224,84377,4.39E+07
13.876,1224,84306,4.39E+07
13.858,1224,84256,4.40E+07
13.832,1220,84185,4.41E+07
13.814,1220,84135,4.43E+07
13.796,1220,84085,4.43E+07
13.778,1220,84035,4.43E+07
13.752,1220,83965,4.43E+07
13.727,1220,83894,4.44E+07
13.701,1220,83823,4.44E+07
13.676,1220,83753,4.51E+07
13.65,1220,83682,4.51E+07
13.625,1220,83611,4.51E+07
13.599,1220,83540,4.51E+07
13.581,1220,83490,4.52E+07
13.563,1220,83440,4.52E+07
13.538,1211,83370,4.52E+07
13.52,1211,83320,4.52E+07
13.495,1211,83249,4.65E+07
13.47,1210,83178,4.65E+07
13.444,1210,83108,4.66E+07
